county,precinct,office,district,party,candidate,votes
Bernalillo,1,Attorney General,,DEM,HECTOR BALDERAS,443
Bernalillo,2,Attorney General,,DEM,HECTOR BALDERAS,328
Bernalillo,3,Attorney General,,DEM,HECTOR BALDERAS,464
Bernalillo,4,Attorney General,,DEM,HECTOR BALDERAS,323
Bernalillo,5,Attorney General,,DEM,HECTOR BALDERAS,346
Bernalillo,6,Attorney General,,DEM,HECTOR BALDERAS,619
Bernalillo,7,Attorney General,,DEM,HECTOR BALDERAS,663
Bernalillo,8,Attorney General,,DEM,HECTOR BALDERAS,205
Bernalillo,9,Attorney General,,DEM,HECTOR BALDERAS,297
Bernalillo,10,Attorney General,,DEM,HECTOR BALDERAS,346
Bernalillo,11,Attorney General,,DEM,HECTOR BALDERAS,563
Bernalillo,12,Attorney General,,DEM,HECTOR BALDERAS,427
Bernalillo,13,Attorney General,,DEM,HECTOR BALDERAS,388
Bernalillo,14,Attorney General,,DEM,HECTOR BALDERAS,356
Bernalillo,15,Attorney General,,DEM,HECTOR BALDERAS,394
Bernalillo,16,Attorney General,,DEM,HECTOR BALDERAS,287
Bernalillo,17,Attorney General,,DEM,HECTOR BALDERAS,501
Bernalillo,18,Attorney General,,DEM,HECTOR BALDERAS,449
Bernalillo,19,Attorney General,,DEM,HECTOR BALDERAS,670
Bernalillo,20,Attorney General,,DEM,HECTOR BALDERAS,591
Bernalillo,21,Attorney General,,DEM,HECTOR BALDERAS,794
Bernalillo,22,Attorney General,,DEM,HECTOR BALDERAS,388
Bernalillo,23,Attorney General,,DEM,HECTOR BALDERAS,561
Bernalillo,24,Attorney General,,DEM,HECTOR BALDERAS,805
Bernalillo,25,Attorney General,,DEM,HECTOR BALDERAS,657
Bernalillo,26,Attorney General,,DEM,HECTOR BALDERAS,627
Bernalillo,27,Attorney General,,DEM,HECTOR BALDERAS,362
Bernalillo,28,Attorney General,,DEM,HECTOR BALDERAS,272
Bernalillo,29,Attorney General,,DEM,HECTOR BALDERAS,394
Bernalillo,30,Attorney General,,DEM,HECTOR BALDERAS,1067
Bernalillo,31,Attorney General,,DEM,HECTOR BALDERAS,311
Bernalillo,32,Attorney General,,DEM,HECTOR BALDERAS,350
Bernalillo,33,Attorney General,,DEM,HECTOR BALDERAS,461
Bernalillo,34,Attorney General,,DEM,HECTOR BALDERAS,187
Bernalillo,35,Attorney General,,DEM,HECTOR BALDERAS,228
Bernalillo,36,Attorney General,,DEM,HECTOR BALDERAS,315
Bernalillo,37,Attorney General,,DEM,HECTOR BALDERAS,517
Bernalillo,38,Attorney General,,DEM,HECTOR BALDERAS,504
Bernalillo,39,Attorney General,,DEM,HECTOR BALDERAS,498
Bernalillo,40,Attorney General,,DEM,HECTOR BALDERAS,335
Bernalillo,41,Attorney General,,DEM,HECTOR BALDERAS,503
Bernalillo,42,Attorney General,,DEM,HECTOR BALDERAS,299
Bernalillo,43,Attorney General,,DEM,HECTOR BALDERAS,349
Bernalillo,44,Attorney General,,DEM,HECTOR BALDERAS,548
Bernalillo,45,Attorney General,,DEM,HECTOR BALDERAS,256
Bernalillo,46,Attorney General,,DEM,HECTOR BALDERAS,414
Bernalillo,47,Attorney General,,DEM,HECTOR BALDERAS,136
Bernalillo,48,Attorney General,,DEM,HECTOR BALDERAS,449
Bernalillo,49,Attorney General,,DEM,HECTOR BALDERAS,497
Bernalillo,50,Attorney General,,DEM,HECTOR BALDERAS,689
Bernalillo,51,Attorney General,,DEM,HECTOR BALDERAS,320
Bernalillo,52,Attorney General,,DEM,HECTOR BALDERAS,742
Bernalillo,53,Attorney General,,DEM,HECTOR BALDERAS,252
Bernalillo,54,Attorney General,,DEM,HECTOR BALDERAS,687
Bernalillo,55,Attorney General,,DEM,HECTOR BALDERAS,332
Bernalillo,56,Attorney General,,DEM,HECTOR BALDERAS,385
Bernalillo,57,Attorney General,,DEM,HECTOR BALDERAS,797
Bernalillo,58,Attorney General,,DEM,HECTOR BALDERAS,94
Bernalillo,59,Attorney General,,DEM,HECTOR BALDERAS,541
